k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_enable
50,0.05,4.695046175139997,-0.003284672071678034,89.69826661871775,-7.385629465431729,90.00181418728863,4.935801462126957,0.0,80.57971449329914,0.0,-178.0934514183504,-0.24075528698695958,-0.003284672071678034,9.118552125418617,-7.385629465431729,11.734373245496743,4.695046175139997,-0.003284672071678034,89.69826661871775,-7.385629465431729,0.0,0.0,0.0,0.0,1,1,1,0
51,0.051000000000000004,4.784162559828022,-0.00960791825760485,88.37191966563726,-5.23960466806928,88.52711247108142,5.016292129894547,0.0,80.40162104188079,0.0,-177.0140863625356,-0.23212957006652424,-0.00960791825760485,7.970298623756477,-5.23960466806928,9.538297396784595,4.784162559828022,-0.00960791825760485,88.37191966563726,-5.23960466806928,0.0,0.0,0.0,0.0,1,1,1,0
52,0.052000000000000005,4.871460919642663,-0.013741198006729386,86.05979596867016,-3.0260587298318384,86.11298109812206,5.096605243893246,0.0,80.22460695551825,0.0,-176.83971502075923,-0.22514432425058306,-0.013741198006729386,5.835189013151904,-3.0260587298318384,6.573162272118358,4.871460919642663,-0.013741198006729386,86.05979596867016,-3.0260587298318384,0.0,0.0,0.0,0.0,1,1,1,0
53,0.053,4.955955879594009,-0.015680489547199784,82.77043100215054,-0.8742415381948029,82.77504784987363,5.176741430991254,0.0,80.04776724049749,0.0,-177.27357008009062,-0.22078555139724543,-0.015680489547199784,2.7226637616530525,-0.8742415381948029,2.8595797289329012,4.955955879594009,-0.015680489547199784,82.77043100215054,-0.8742415381948029,0.0,0.0,0.0,0.0,1,1,1,0
54,0.054,5.036694016529158,-0.015556919665783148,78.55933423088113,1.075683592272549,78.56669835235522,5.256700561446712,0.0,79.8704936704174,0.0,-177.97549758953645,-0.22000654491755345,-0.015556919665783148,-1.3111594395362687,1.075683592272549,1.6959464220810272,5.036694016529158,-0.015556919665783148,78.55933423088113,1.075683592272549,0.0,0.0,0.0,0.0,1,1,1,0
55,0.055,5.112800854547674,-0.013644889946734157,73.52862624698182,2.678342560198518,73.57739052615356,5.336482067368334,0.0,79.69251817282786,0.0,-178.57829143901674,-0.22368121282065978,-0.013644889946734157,-6.163891925846045,2.678342560198518,6.720645991516054,5.112800854547674,-0.013644889946734157,73.52862624698182,2.678342560198518,0.0,0.0,0.0,0.0,1,1,1,0
56,0.056,5.1835262702139016,-0.010364153786964389,67.82421543082629,3.7895065954730436,67.9299974903891,5.416085296395442,0.0,79.51393988138885,0.0,-178.7060404171818,-0.23255902618154067,-0.010364153786964389,-11.689724450562565,3.7895065954730436,12.288613345988797,5.1835262702139016,-0.010364153786964389,67.82421543082629,3.7895065954730436,0.0,0.0,0.0,0.0,1,1,1,0
57,0.057,5.2482858520622075,-0.006275316713116364,61.63054661229969,4.272843241700534,61.77848707356786,5.495509883256623,0.0,79.33523384097167,0.0,-177.99355290689235,-0.24722403119441516,-0.006275316713116364,-17.70468722867198,4.272843241700534,18.212993692231013,5.2482858520622075,-0.006275316713116364,61.63054661229969,4.272843241700534,0.0,0.0,0.0,0.0,1,1,1,0
58,0.058,5.306695859456404,-0.0020685091952733726,55.16309062829254,4.006769316816261,55.3084149838286,5.574756120321141,0.0,79.15724028806477,0.0,-176.1058293799091,-0.2680602608647371,-0.0020685091952733726,-23.994149659772233,4.006769316816261,24.32639344937363,5.306695859456404,-0.0020685091952733726,55.16309062829254,4.006769316816261,0.0,0.0,0.0,0.0,1,1,1,0
59,0.059000000000000004,5.3585996623043695,0.0014547137726616949,48.658877721978214,2.8910907615294015,48.74468983339445,5.6538253076945155,0.0,78.98113445868486,0.0,-172.75651372057177,-0.29522564539014606,0.0014547137726616949,-30.32225673670665,2.8910907615294015,30.45977116457299,5.3585996623043695,0.0014547137726616949,48.658877721978214,2.8910907615294015,0.0,0.0,0.0,0.0,1,1,1,0
60,0.06,5.404083909208387,0.0034058715667985226,42.36550166865781,0.853105910852502,42.37409021244207,5.73272006389634,0.0,78.80837794496429,0.0,-167.72427553558543,-0.3286361546879535,0.0034058715667985226,-36.442876276306485,0.853105910852502,36.45286025794565,5.404083909208387,0.0034058715667985226,42.36550166865781,0.853105910852502,0.0,0.0,0.0,0.0,1,1,1,0
61,0.061,5.44348315341596,0.002839759115694138,36.529127754684765,-2.1471446308708164,36.592176822156375,5.8114445797035374,0.0,78.6406536694287,0.0,-160.86615809340398,-0.3679614262875779,0.002839759115694138,-42.111525914743936,-2.1471446308708164,42.16622872553375,5.44348315341596,0.002839759115694138,36.529127754684765,-2.1471446308708164,0.0,0.0,0.0,0.0,1,1,1,0
62,0.062,5.4773722421640185,-0.0012106528363113897,31.382119290266253,-6.112776138403174,31.971916477851817,5.890004800293919,0.0,78.4797875113353,0.0,-152.12706788067288,-0.41263255812990085,-0.0012106528363113897,-47.09766822106905,-6.112776138403174,47.49269821751685,5.4773722421640185,-0.0012106528363113897,31.382119290266253,-6.112776138403174,0.0,0.0,0.0,0.0,1,1,1,0
63,0.063,5.506546417911707,-0.009695898699306016,27.130948245768693,-11.007363021985798,29.27883866228918,5.968408524271314,0.0,78.32766044345463,0.0,-141.54477586359462,-0.46186210635960645,-0.009695898699306016,-51.19671219768594,-11.007363021985798,52.36664377779489,5.506546417911707,-0.009695898699306016,27.130948245768693,-11.007363021985798,0.0,0.0,0.0,0.0,1,1,1,0
64,0.064,5.531989756490231,-0.023509792811448122,23.945071338330486,-16.75385233860976,29.224270899060524,6.046665412326837,0.0,78.18611566759104,0.0,-129.2500379181547,-0.5146756558366059,-0.023509792811448122,-54.24104432926055,-16.75385233860976,56.769555732916814,5.531989756490231,-0.023509792811448122,23.945071338330486,-16.75385233860976,0.0,0.0,0.0,0.0,1,1,1,0
